Date/Time,Type,Profit USD
2021-01-08 15:15:00+00:00,Long Entry,
2021-01-08 15:15:00+00:00,Long Exit (SL),-777.9999999999927
2021-01-08 15:30:00+00:00,Short Entry,
2021-01-08 16:00:00+00:00,Short Exit (SL),-1192.0000000000073
2021-01-08 16:30:00+00:00,Short Entry,
2021-01-08 17:00:00+00:00,Short Exit,-45.0
2021-01-08 17:00:00+00:00,Long Entry,
2021-01-08 18:00:00+00:00,Long Exit,-320.0
2021-01-08 18:00:00+00:00,Short Entry,
2021-01-08 18:15:00+00:00,Short Exit (TP),915.1333333333241
2021-01-08 18:30:00+00:00,Short Entry,
2021-01-08 19:15:00+00:00,Short Exit,-136.6666666666788
2021-01-08 19:15:00+00:00,Long Entry,
2021-01-08 20:30:00+00:00,Long Exit (TP),1377.0000000000073
2021-01-11 05:15:00+00:00,Long Entry,
2021-01-11 06:00:00+00:00,Long Exit,63.33333333332121
2021-01-11 06:00:00+00:00,Short Entry,
2021-01-11 07:00:00+00:00,Short Exit (SL),-247.1333333333314
2021-01-11 07:45:00+00:00,Short Entry,
2021-01-11 08:00:00+00:00,Short Exit,-41.66666666664241
2021-01-11 08:00:00+00:00,Long Entry,
2021-01-11 08:45:00+00:00,Long Exit,30.0
2021-01-11 08:45:00+00:00,Short Entry,
2021-01-11 10:15:00+00:00,Short Exit,185.0
2021-01-11 10:15:00+00:00,Long Entry,
2021-01-11 11:15:00+00:00,Long Exit,-158.3333333333576
2021-01-11 11:15:00+00:00,Short Entry,
2021-01-11 11:45:00+00:00,Short Exit,-110.0
2021-01-11 11:45:00+00:00,Long Entry,
2021-01-11 12:00:00+00:00,Long Exit,63.33333333335759
2021-01-11 12:00:00+00:00,Short Entry,
2021-01-11 12:00:00+00:00,Short Exit (TP),402.33333333333576
2021-01-11 12:30:00+00:00,Short Entry,
2021-01-11 12:45:00+00:00,Short Exit,-231.6666666666788
2021-01-11 12:45:00+00:00,Long Entry,
2021-01-11 13:00:00+00:00,Long Exit (SL),-389.59999999999127
2021-01-11 13:15:00+00:00,Short Entry,
2021-01-11 13:30:00+00:00,Short Exit (TP),572.1333333333314
2021-01-11 14:45:00+00:00,Short Entry,
2021-01-11 15:00:00+00:00,Short Exit (SL),-837.2666666666919
2021-01-11 15:15:00+00:00,Long Entry,
2021-01-11 16:15:00+00:00,Long Exit,323.3333333333212
2021-01-11 16:15:00+00:00,Short Entry,
2021-01-11 17:00:00+00:00,Short Exit (SL),-802.5333333333037
2021-01-11 17:45:00+00:00,Long Entry,
2021-01-11 18:00:00+00:00,Long Exit,93.3333333333212
2021-01-11 18:00:00+00:00,Short Entry,
2021-01-11 18:15:00+00:00,Short Exit,-25.0
2021-01-11 18:15:00+00:00,Long Entry,
2021-01-11 18:15:00+00:00,Long Exit (SL),-392.400000000016
2021-01-11 19:30:00+00:00,Short Entry,
2021-01-11 20:00:00+00:00,Short Exit,-226.6666666666788
2021-01-11 20:00:00+00:00,Long Entry,
2021-01-11 20:00:00+00:00,Long Exit (SL),-532.0000000000073
2021-01-12 07:00:00+00:00,Short Entry,
2021-01-12 07:15:00+00:00,Short Exit (SL),-199.93333333331975
2021-01-12 08:30:00+00:00,Short Entry,
2021-01-12 09:15:00+00:00,Short Exit,-185.0
2021-01-12 09:15:00+00:00,Long Entry,
2021-01-12 09:45:00+00:00,Long Exit (TP),431.13333333330957
2021-01-12 10:30:00+00:00,Short Entry,
2021-01-12 11:00:00+00:00,Short Exit,5.0
2021-01-12 11:00:00+00:00,Long Entry,
2021-01-12 11:15:00+00:00,Long Exit,78.3333333333212
2021-01-12 11:15:00+00:00,Short Entry,
2021-01-12 12:30:00+00:00,Short Exit,-26.666666666678793
2021-01-12 12:30:00+00:00,Long Entry,
2021-01-12 13:00:00+00:00,Long Exit (SL),-240.2666666666846
2021-01-12 13:15:00+00:00,Short Entry,
2021-01-12 13:15:00+00:00,Short Exit (TP),405.40000000000873
2021-01-12 13:30:00+00:00,Short Entry,
2021-01-12 13:45:00+00:00,Short Exit (TP),550.466666666689
2021-01-12 14:00:00+00:00,Short Entry,
2021-01-12 14:30:00+00:00,Short Exit,-191.6666666666424
2021-01-12 14:30:00+00:00,Long Entry,
2021-01-12 14:30:00+00:00,Long Exit (TP),823.066666666673
2021-01-12 14:45:00+00:00,Long Entry,
2021-01-12 14:45:00+00:00,Long Exit (SL),-719.1333333333387
2021-01-12 15:00:00+00:00,Short Entry,
2021-01-12 15:30:00+00:00,Short Exit,-148.3333333333576
2021-01-12 15:30:00+00:00,Long Entry,
2021-01-12 16:00:00+00:00,Long Exit,45.0
2021-01-12 16:00:00+00:00,Short Entry,
2021-01-12 16:15:00+00:00,Short Exit,-218.3333333333212
2021-01-12 16:15:00+00:00,Long Entry,
2021-01-12 16:45:00+00:00,Long Exit (SL),-809.3999999999869
2021-01-12 17:00:00+00:00,Short Entry,
2021-01-12 17:00:00+00:00,Short Exit (TP),982.4666666666963
2021-01-12 17:45:00+00:00,Long Entry,
2021-01-12 18:30:00+00:00,Long Exit (TP),1380.8666666666613
2021-01-12 18:45:00+00:00,Long Entry,
2021-01-12 19:30:00+00:00,Long Exit,73.33333333335759
2021-01-12 19:30:00+00:00,Short Entry,
2021-01-12 19:30:00+00:00,Short Exit (SL),-521.4666666666744
2021-01-13 05:15:00+00:00,Long Entry,
2021-01-13 05:15:00+00:00,Long Exit (SL),-152.599999999984
2021-01-13 05:45:00+00:00,Short Entry,
2021-01-13 06:15:00+00:00,Short Exit (SL),-155.6000000000131
2021-01-13 06:30:00+00:00,Long Entry,
2021-01-13 06:30:00+00:00,Long Exit (SL),-140.33333333332848
2021-01-13 06:45:00+00:00,Short Entry,
2021-01-13 06:45:00+00:00,Short Exit (SL),-147.00000000000728
2021-01-13 07:00:00+00:00,Long Entry,
2021-01-13 07:30:00+00:00,Long Exit,68.3333333333212
2021-01-13 07:30:00+00:00,Short Entry,
2021-01-13 08:00:00+00:00,Short Exit,-126.66666666664241
2021-01-13 08:00:00+00:00,Long Entry,
2021-01-13 08:00:00+00:00,Long Exit (SL),-171.13333333330957
2021-01-13 08:15:00+00:00,Long Entry,
2021-01-13 08:45:00+00:00,Long Exit (SL),-224.00000000001455
2021-01-13 09:30:00+00:00,Long Entry,
2021-01-13 10:15:00+00:00,Long Exit (SL),-208.86666666669043
2021-01-13 10:45:00+00:00,Short Entry,
2021-01-13 11:30:00+00:00,Short Exit (TP),609.3333333333067
2021-01-13 11:45:00+00:00,Long Entry,
2021-01-13 12:30:00+00:00,Long Exit,75.0
2021-01-13 12:30:00+00:00,Short Entry,
2021-01-13 12:45:00+00:00,Short Exit (TP),592.6666666666642
2021-01-13 13:00:00+00:00,Short Entry,
